,cluster,membership
ENSG00000146859,0,0.9999959582743481
ENSG00000133574,0,0.9999710892604364
ENSG00000163565,0,0.9999999999999962
ENSG00000177409,0,0.6849010362403396
ENSG00000107201,0,0.9999346835840328
ENSG00000136514,0,0.9999871394503359
ENSG00000185880,5,0.9938128622501197
ENSG00000205413,0,0.9357528916243477
ENSG00000164054,0,0.9998176982535792
ENSG00000183486,0,0.9999999792017995
ENSG00000135114,0,0.9990070988556544
ENSG00000121858,0,0.9999948098770912
ENSG00000132109,0,0.9999999999365117
ENSG00000185745,0,0.9675160740144667
ENSG00000163154,0,0.990556349340526
ENSG00000067066,0,0.999467936941855
ENSG00000089127,5,0.6429866106853243
ENSG00000124256,0,0.9999918873708779
ENSG00000135899,0,0.9999999999998828
ENSG00000163840,0,0.9998708957428697
ENSG00000086065,0,0.9999999943311142
ENSG00000132256,0,0.9999999990042274
ENSG00000132530,5,0.9999999949419607
ENSG00000129465,0,0.9945729855147867
ENSG00000155252,4,0.997611374900328
ENSG00000026950,5,0.999999999889325
ENSG00000073737,0,0.9999989471235017
ENSG00000126860,0,0.9999997612723709
ENSG00000135828,0,0.9514542787347738
ENSG00000173198,5,0.9999999999939855
ENSG00000149798,0,0.9999999867895799
ENSG00000183688,1,0.9978703372764327
ENSG00000119922,0,0.9995782098355214
ENSG00000152102,4,0.9999944321387215
ENSG00000137628,5,0.9999525674457052
ENSG00000180871,0,0.9999300716967342
ENSG00000179833,4,0.9999986434063426
ENSG00000213928,5,0.5954644196969296
ENSG00000236345,0,0.9601150793371785
ENSG00000123609,0,0.999998464687752
ENSG00000235750,0,0.9759661009251106
ENSG00000167851,0,0.9972513040883404
ENSG00000281100,0,0.9999995812184983
ENSG00000111335,5,0.5097225775354921
ENSG00000135148,0,0.9988228680831923
ENSG00000119917,0,0.5906450258483382
ENSG00000168310,0,0.9984615322443827
ENSG00000196684,0,0.9999959244831013
ENSG00000152213,0,0.9999999941612545
ENSG00000138496,0,0.999242526342481
ENSG00000184979,0,0.8925680407676667
ENSG00000121486,0,0.9092782125554962
ENSG00000115145,0,0.7579829790502708
ENSG00000172086,5,0.9401747909347946
ENSG00000157601,0,0.9997923718848619
ENSG00000070190,0,0.8602764053898305
ENSG00000122643,0,0.999999972025906
ENSG00000152778,0,0.7044655761658618
ENSG00000196116,0,0.999994903237489
ENSG00000134321,5,0.7558358126927287
ENSG00000168394,5,0.9996022217276035
ENSG00000196954,0,0.9930783941110533
ENSG00000111801,5,0.9987956205441867
ENSG00000174007,0,0.9988411745108436
ENSG00000137752,0,0.9999999999998315
ENSG00000108424,0,0.9999474640899279
ENSG00000121067,5,0.8406011303959944
ENSG00000123610,0,0.999999999999831
ENSG00000228830,4,0.9998409156838437
ENSG00000101782,1,0.9439850590463783
ENSG00000132274,5,0.524531265595709
ENSG00000151702,0,0.9323645212696937
ENSG00000198818,0,0.9999999043743959
ENSG00000120280,0,0.8976337779815953
ENSG00000095370,5,0.9747394100711588
ENSG00000181778,0,0.9999841464786609
ENSG00000136816,0,0.9999999999999893
ENSG00000169220,0,0.9945507375364817
ENSG00000225470,0,0.9999999859299784
ENSG00000111331,5,0.9858770166564682
ENSG00000138642,0,0.9642929363470162
ENSG00000179933,0,0.9999018538043589
ENSG00000185507,0,0.9999999959029806
ENSG00000133106,5,0.9999911455808942
ENSG00000164674,0,0.9999984764155289
ENSG00000172349,0,0.8169479203979207
ENSG00000055332,0,0.9999754773099195
ENSG00000171049,0,0.9999994971280837
ENSG00000117226,0,0.7241643272273237
ENSG00000108771,0,0.9999941711378951
ENSG00000163464,0,0.9999999998781828
ENSG00000112343,0,0.999996498276155
ENSG00000128383,0,0.999796363212299
ENSG00000137959,5,0.9999971700881051
ENSG00000159882,0,0.9964349772607163
ENSG00000239305,4,0.9999915102780282
ENSG00000173110,0,0.9999999809000654
ENSG00000188313,0,0.9999999913483927
ENSG00000135211,0,0.9999999641186372
ENSG00000088827,5,0.9999999999999241
ENSG00000105483,0,0.9999999999993237
ENSG00000164144,5,0.9999999999920681
ENSG00000035681,0,0.9999477757192679
ENSG00000181381,0,0.9999999999986893
ENSG00000140259,0,0.9999999555220227
ENSG00000116863,0,0.9999999995147897
ENSG00000167208,0,0.9961671527832754
ENSG00000254017,5,0.9999989234016913
ENSG00000079263,0,0.9999999999997728
ENSG00000178966,5,0.8908153096172028
ENSG00000196470,1,0.9999999917161043
ENSG00000118260,5,0.9999999991159909
ENSG00000142687,0,0.9999923684065151
ENSG00000111913,0,0.9999999867422964
ENSG00000185909,5,0.9927075326537744
ENSG00000136147,0,0.999443519259263
ENSG00000151743,5,0.9895042462596881
ENSG00000119950,1,1.0
ENSG00000067182,0,0.9999869674535824
ENSG00000232815,0,0.9999999995533779
ENSG00000168264,4,0.999989607111407
ENSG00000143409,0,0.8719229993294377
ENSG00000163219,0,0.9999994330964922
ENSG00000137965,5,0.9999875531527725
ENSG00000124786,5,0.9999998918686287
ENSG00000186470,0,0.7135679278183313
ENSG00000112763,5,0.8796853054059697
ENSG00000204261,0,0.9999637327111702
ENSG00000008130,0,0.9999998617474946
ENSG00000115267,5,0.9951922208484811
ENSG00000138646,0,0.9993629541854507
ENSG00000165233,1,0.992678704238192
ENSG00000198899,1,0.9999322863758338
ENSG00000090989,5,0.9932780939229986
ENSG00000134326,5,0.9332560956554863
ENSG00000121236,0,0.9836715887323887
ENSG00000125449,5,0.7739248868896368
ENSG00000115325,5,0.9986096527949383
ENSG00000163823,0,0.9994614015722643
ENSG00000163568,0,0.9999984035967814
ENSG00000009844,5,0.9412656965567506
ENSG00000170956,0,0.8846095312426988
ENSG00000126709,5,0.9334347375411436
ENSG00000154305,0,0.999998785772475
ENSG00000109046,5,0.9980220487298399
ENSG00000233030,0,0.9999999998255968
ENSG00000148572,0,0.9999999141187674
ENSG00000048342,0,0.985856264241029
ENSG00000161010,3,0.963127103078985
ENSG00000173193,0,0.9248045545763133
ENSG00000163563,0,0.9999997060630095
ENSG00000117228,0,0.9867774204824457
ENSG00000106560,0,0.999827890468322
ENSG00000116560,4,0.9999999999716993
ENSG00000122861,4,0.999999999539672
ENSG00000133943,0,0.9999999998604419
ENSG00000156587,0,0.999959380577666
ENSG00000068079,0,0.9843640392586297
ENSG00000102524,0,0.9999990117139824
ENSG00000115421,5,0.9999998824634957
ENSG00000106392,0,0.9999996602455226
ENSG00000130813,0,0.9423839842608337
ENSG00000187608,0,0.9996781905452883
ENSG00000068784,5,0.9999682283053591
ENSG00000104133,5,0.9999999999950675
ENSG00000277511,0,0.9999771882091165
ENSG00000145016,5,0.8759422046127252
ENSG00000168040,0,0.9935417215858484
ENSG00000165355,1,0.9999999999913725
ENSG00000119820,0,0.9999982671677707
ENSG00000172936,0,0.9999999996134032
ENSG00000258659,5,0.855625689993741
ENSG00000120690,0,0.999989094456555
ENSG00000246082,0,0.999999691314869
ENSG00000108984,0,0.9999767293738684
ENSG00000143891,0,0.9999999924441455
ENSG00000197063,1,0.9950951183128436
ENSG00000178927,0,0.9836364184911083
ENSG00000062485,4,0.999999998746478
ENSG00000125826,0,0.9999958766038387
ENSG00000109220,0,0.9303883017890258
ENSG00000160710,0,0.9999994160746674
ENSG00000079950,0,0.9999998565082816
ENSG00000249662,0,0.9999997442286191
ENSG00000107796,5,0.8645967411446396
ENSG00000168016,0,0.9999995944469015
ENSG00000164967,0,0.6237198649461061
ENSG00000108100,2,0.7812368674250768
ENSG00000182952,5,0.9999996540818024
ENSG00000183621,0,0.9999999850003845
ENSG00000111642,4,0.9686417760873581
ENSG00000116663,0,0.9645038010587075
ENSG00000198938,1,0.9985929060354156
ENSG00000070756,4,0.999999999580627
ENSG00000198742,4,0.505720159373882
ENSG00000255760,0,0.9999979396055991
ENSG00000102760,1,0.999965867637627
ENSG00000170581,0,0.9999992162487251
ENSG00000158201,5,0.9993059643272265
ENSG00000204439,5,0.999952363771965
ENSG00000010030,0,0.9999888299111687
ENSG00000111859,0,0.99686294898308
ENSG00000117475,0,0.9997270365810021
ENSG00000168062,0,0.9825890933145698
ENSG00000169375,3,0.9999999999999971
ENSG00000127084,0,0.999640474162374
ENSG00000165732,3,0.999500416943208
ENSG00000172123,0,0.9999999997540301
ENSG00000196141,0,0.9999999999999964
ENSG00000197111,1,0.9999999855873924
ENSG00000002919,0,0.9999369228174823
ENSG00000135070,1,0.9999994869562235
ENSG00000155363,0,0.9968169785296815
ENSG00000186660,4,0.9999979661373007
ENSG00000173221,0,0.9999999985109882
ENSG00000127526,4,0.9985659010386099
ENSG00000186480,4,0.9999999966596795
ENSG00000165029,5,0.9998436446545417
ENSG00000225101,0,0.9999999989284463
ENSG00000087502,5,0.9999070620337954
ENSG00000175538,0,0.9997894556444955
ENSG00000282851,0,0.9999937593884212
ENSG00000158793,0,0.9998477948344769
ENSG00000107371,0,0.9735747178254974
ENSG00000148925,0,0.9992208576571883
ENSG00000163166,5,0.9999943705336987
ENSG00000116337,1,0.9990297035997253
ENSG00000153914,4,0.9105380163461049
ENSG00000150681,5,0.9999999194862028
ENSG00000188554,0,0.9902554266166858
ENSG00000182557,1,0.9999999998985474
ENSG00000172232,2,0.9151749120599902
ENSG00000206337,5,0.9995529074521041
ENSG00000102710,5,0.9999999747547452
ENSG00000100300,2,0.999999999999974
ENSG00000137767,0,0.9999999865265057
ENSG00000118564,0,0.9998510408853135
ENSG00000265972,0,0.7815533267518241
ENSG00000184007,1,0.9999948218478336
ENSG00000094975,4,0.9957323799127973
ENSG00000104325,0,0.9999981547913059
ENSG00000272398,2,0.9999999678822756
ENSG00000013374,0,0.99999975722867
ENSG00000117091,5,0.9999999983102426
ENSG00000164821,2,0.9997033315581593
ENSG00000170633,5,0.9999996562728157
ENSG00000158373,5,0.9965973326767756
ENSG00000068394,0,0.9956702493704775
ENSG00000066136,0,0.7568085786302826
ENSG00000114120,4,0.5062736141305784
ENSG00000259268,0,0.7857725712621559
ENSG00000186812,5,0.5812562181189063
ENSG00000170876,0,0.9999987544857055
ENSG00000164117,5,0.510357159259972
ENSG00000110046,2,0.8583134660585732
ENSG00000100802,5,0.9999999999807336
ENSG00000174718,5,0.9935169773475937
ENSG00000240247,2,0.999999999999994
ENSG00000231607,0,0.9968814261988478
ENSG00000204131,0,0.9999844627263121
ENSG00000143376,0,0.9999999999974056
ENSG00000124102,1,0.9999999585308924
ENSG00000270972,0,0.99999882916916
ENSG00000075292,5,0.9999999999575921
ENSG00000183474,0,0.9100185756101208
ENSG00000025796,3,0.9124056482214445
ENSG00000146425,0,0.9956057969011627
ENSG00000243646,0,0.9999999980265422
ENSG00000173821,0,0.9861865365551511
ENSG00000167604,4,0.9999999999999998
ENSG00000167378,3,0.9999876767370125
ENSG00000119979,0,0.945317820214058
ENSG00000117222,5,0.5636104510364767
ENSG00000257878,0,0.999999988062165
ENSG00000116731,4,0.8965418900038881
ENSG00000105968,1,0.9999947867322894
ENSG00000204592,0,0.9998126729516414
ENSG00000143924,4,0.9999858463004366
ENSG00000233975,0,0.9999995160608829
ENSG00000255328,0,0.9999999999994595
ENSG00000132661,3,0.9970367458720683
ENSG00000177294,0,0.9999753343396365
ENSG00000173846,1,0.990203457603893
ENSG00000148346,2,0.9999984119014133
ENSG00000196371,4,0.999999950458232
ENSG00000273272,0,0.9999999606017911
ENSG00000188921,5,0.5609862553217057
ENSG00000143321,1,0.999743169625092
ENSG00000120594,5,0.9999971048727041
ENSG00000167562,5,0.9999980310314673
ENSG00000198727,1,0.6259975560329021
ENSG00000185787,4,0.6733587962844862
ENSG00000082074,0,0.9999999999511067
ENSG00000180573,0,0.9705012497246461
ENSG00000104885,3,0.9891147802869098
ENSG00000240065,0,0.9999993246153115
ENSG00000119321,0,0.999999999981573
ENSG00000175061,1,0.9752771652937864
ENSG00000151466,5,0.9999999999798135
ENSG00000033800,5,0.9904938157259318
ENSG00000198736,0,0.9999999997220419
ENSG00000101574,0,0.9999627702069421
ENSG00000225964,0,0.6126435027095024
ENSG00000110876,0,0.9999999996211475
ENSG00000272501,0,0.9981962021501962
ENSG00000198886,1,0.9999999999999987
ENSG00000177169,1,0.9999926089435185
ENSG00000104824,1,0.9999997641871731
ENSG00000110200,1,0.9999999998116447
ENSG00000128335,0,0.9999961422379972
ENSG00000010539,0,0.9998634407658977
ENSG00000125968,4,0.9628531953730705
ENSG00000244754,5,0.9998951244385678
ENSG00000205903,4,0.8581783011078535
ENSG00000185885,0,0.989580869192333
ENSG00000117010,0,0.9999999999999956
ENSG00000197562,4,0.9999983252076222
ENSG00000197561,1,0.994086361925347
ENSG00000123405,0,0.9999951976244972
ENSG00000143570,5,0.9999975333702218
ENSG00000110852,0,0.999912715435845
ENSG00000070269,5,0.9910480607855221
ENSG00000138668,4,0.9749820595229012
ENSG00000248527,1,0.9999998786267544
ENSG00000280248,0,0.9999999998717746
ENSG00000175857,5,0.9999992183954837
ENSG00000129691,5,0.9999999858098507
ENSG00000068878,4,0.999999999421832
ENSG00000166523,0,0.9999975552274051
ENSG00000149131,5,0.9999860303430336
ENSG00000269243,5,0.6519985811135307
ENSG00000165118,0,0.9987592401143547
ENSG00000157551,0,0.9999999661571755
ENSG00000133657,4,0.662057455275914
ENSG00000160932,5,0.9999999956391306
ENSG00000125772,1,0.9990345311111491
ENSG00000171497,5,0.9993780146922603
ENSG00000102699,0,0.9562319697815482
ENSG00000263020,1,0.9989657349902213
ENSG00000169228,0,0.9999699249804539
ENSG00000132357,0,0.9999994569612976
ENSG00000142961,0,0.9999988564757079
ENSG00000167536,0,0.9999999969305571
ENSG00000196812,5,0.9998487499095223
ENSG00000130303,0,0.9999999999978406
ENSG00000111224,0,0.9985969691322881
ENSG00000130150,5,0.9987694948297593
ENSG00000105053,5,0.7885521128415809
ENSG00000133317,1,0.9999999999999909
ENSG00000133884,0,0.9999678984044741
ENSG00000204977,0,0.9999535663750858
ENSG00000260943,5,0.9932285245683055
ENSG00000118816,2,0.9999913807438258
ENSG00000100596,0,0.9999999999999953
ENSG00000229474,5,0.9984743791148322
ENSG00000136869,0,0.8805836246724874
ENSG00000171115,0,0.9999933309364152
ENSG00000115415,0,0.9528195361003883
ENSG00000198355,4,0.9999712643068771
ENSG00000116741,0,0.9563666589896581
ENSG00000123933,1,0.9324817158605395
ENSG00000134107,3,0.9999999970463678
ENSG00000132376,1,0.9988412521583507
ENSG00000146963,4,0.9997810457776714
ENSG00000143119,0,0.9999998977096312
ENSG00000255587,2,0.8400220092461476
ENSG00000178913,5,0.9999999999999853
ENSG00000000457,5,0.9999984772998025
ENSG00000118518,5,0.9999999987713561
ENSG00000185862,0,0.9999999999999962
ENSG00000163512,0,0.9999990970707643
ENSG00000184990,1,0.9711126284354202
ENSG00000176845,1,0.5585379563385313
ENSG00000257802,4,0.9996030837798507
ENSG00000138459,5,0.9999916675257081
ENSG00000053770,5,0.9999979045521126
ENSG00000111653,5,0.9995922883534489
ENSG00000121931,5,0.9999999999966211
ENSG00000267745,0,0.9999999958657242
ENSG00000198520,1,0.6612771373037147
ENSG00000100448,2,0.9642205473276799
ENSG00000152904,5,0.999997721570559
ENSG00000173801,5,0.9999993875229968
ENSG00000159314,5,0.8111403586550506
ENSG00000155313,5,0.7688853190728289
ENSG00000147168,5,0.9999999998644864
ENSG00000185722,0,0.9999999998350293
ENSG00000158406,5,0.9999999951786818
ENSG00000287263,5,0.662595782647203
ENSG00000143545,2,0.9999999998889875
ENSG00000115446,5,0.9999828708984139
ENSG00000084110,0,0.9999999997368143
ENSG00000114439,5,0.9990850501696648
ENSG00000256683,0,0.8876715081426397
ENSG00000100938,0,0.994983544471479
ENSG00000279296,5,0.9998905239070269
ENSG00000128272,4,0.9913936734632893
ENSG00000179044,0,0.9999999934064856
ENSG00000185033,0,0.9999983493788419
ENSG00000178977,0,0.9999682171074422
ENSG00000270562,5,0.9999999999996088
ENSG00000286076,0,0.9998718192155562
ENSG00000124508,5,0.9968791368368322
ENSG00000080802,5,0.9787474216891519
ENSG00000163481,5,0.9999981303346757
ENSG00000069956,3,0.9999999987937875
ENSG00000144677,1,0.9859312491683389
ENSG00000086730,0,0.9999999999978617
ENSG00000133112,2,0.7216665800037569
ENSG00000009790,0,0.99999994629082
ENSG00000182919,0,0.9999999999801705
ENSG00000267680,5,0.9999999957447363
ENSG00000135900,0,0.9999991396920681
ENSG00000198840,2,0.9999980086155317
ENSG00000182179,5,0.9999998189340605
ENSG00000204516,5,0.588883748996899
ENSG00000167065,5,0.9999945405589592
ENSG00000024862,5,0.973438713921543
ENSG00000171155,5,0.9998252098060822
ENSG00000101363,5,0.7328908965310859
ENSG00000158669,4,0.9999999999999991
ENSG00000132819,4,0.9999990638083434
ENSG00000104918,2,0.9998910892964421
ENSG00000155090,3,0.9999941470381813
ENSG00000152684,0,0.9999999997324798
ENSG00000003400,0,0.9999999282371668
ENSG00000028528,0,0.999920709863832
ENSG00000241878,0,0.9999999999971292
ENSG00000163683,5,0.886974403530527
ENSG00000114127,0,0.7118152855855917
ENSG00000204397,0,0.9998799100572721
ENSG00000115339,5,0.8602987976258066
ENSG00000155926,0,0.9990788854632003
ENSG00000188404,0,0.999998524841824
ENSG00000148344,2,0.9994558153599762
ENSG00000155876,5,0.9993748974149026
ENSG00000136938,1,0.9985814046743088
ENSG00000141664,5,0.9999999668778285
ENSG00000159461,3,0.9317834730934101
ENSG00000204264,0,0.9947640652015263
ENSG00000142583,1,0.9891716093234832
ENSG00000121481,5,0.9995434895015626
ENSG00000107099,5,0.9999949757734502
ENSG00000154928,5,0.9903866368236832
ENSG00000011426,4,0.5704978150376983
ENSG00000142039,5,0.9999997538491237
ENSG00000127952,0,0.9999552792225744
ENSG00000102897,0,0.9999999979957597
ENSG00000221963,0,0.6183746957943345
ENSG00000198804,1,0.9999954944680108
ENSG00000156232,4,0.9840550267792401
ENSG00000187954,4,0.9935406719018556
ENSG00000100221,4,0.9999999999999998
ENSG00000233785,0,0.9999536127279246
ENSG00000177666,1,0.9999422873399325
ENSG00000105127,3,0.9999967510775782
ENSG00000285006,0,0.9999998060413245
ENSG00000062194,0,0.99999997351778
ENSG00000239653,0,0.9999991299060059
ENSG00000168404,0,0.9999998457213208
ENSG00000035720,5,0.9999996544837729
ENSG00000010704,0,0.9999913150531701
ENSG00000116815,5,0.9999997525101922
ENSG00000239857,1,0.5240941458953379
ENSG00000265118,0,0.9999999984245078
ENSG00000136504,3,0.9999999998479414
ENSG00000072952,0,0.9999778318001173
ENSG00000133561,0,0.9999612613463721
ENSG00000106089,3,0.9999999999201759
ENSG00000213689,0,0.9999999999999953
ENSG00000171428,0,0.9999959756217021
ENSG00000184216,4,0.9998494388537106
ENSG00000178685,0,0.9963486213090463
ENSG00000106733,5,0.9999999116561367
ENSG00000152558,5,0.9966292365700159
ENSG00000101216,4,0.9999999995258808
ENSG00000122641,2,0.9999999645578804
ENSG00000103355,1,0.9999088182395081
ENSG00000173614,5,0.7244717905929519
ENSG00000108179,3,0.9999999600214076
ENSG00000112715,1,0.8255131357309337
ENSG00000137309,3,0.9961800182841518
ENSG00000105501,5,0.9988908598102497
ENSG00000077420,0,0.9999999931598706
ENSG00000140691,4,0.9998332586720424
ENSG00000005381,1,0.8584095849030394
ENSG00000150907,3,0.9362373313871845
ENSG00000168795,3,0.5552764055230011
ENSG00000186866,1,0.9999997729594705
ENSG00000188997,0,0.9999419418734905
ENSG00000279727,0,0.9997088794116571
ENSG00000108679,5,0.99725112210096
ENSG00000143363,5,0.5584182065405224
ENSG00000215378,2,0.9999998360347546
ENSG00000136874,5,0.99999999749869
ENSG00000084733,0,0.9999965624419137
ENSG00000131143,1,0.9999993403463839
ENSG00000187555,4,0.8504418615262548
ENSG00000100083,4,0.8928410356372573
ENSG00000113369,0,0.9997716239897756
ENSG00000162747,0,0.8649419768282854
ENSG00000198604,0,0.9978122315765956
ENSG00000112149,3,0.9999964979553642
ENSG00000198888,1,1.0
ENSG00000059378,0,0.9999999999816906
ENSG00000086061,0,0.9999981395253913
ENSG00000138867,4,0.9214587283067939
ENSG00000261158,0,0.9997317019961098
ENSG00000126368,3,0.9999999999959182
ENSG00000113070,1,0.9999997624136476
ENSG00000116604,4,0.989722370663247
ENSG00000281162,0,0.9998792946388517
ENSG00000198001,5,0.9999999999999813
ENSG00000101608,0,0.9999999970239937
ENSG00000288587,0,0.9895479897246595
ENSG00000175352,4,0.9518236580727807
ENSG00000104529,1,0.9999999999999978
ENSG00000048740,5,0.9852669882715992
ENSG00000124357,0,0.9994270097119926
ENSG00000137757,5,0.9909442202783244
ENSG00000239713,0,0.949486823322594
ENSG00000137404,1,0.9999982963230318
ENSG00000113448,4,0.9999972648045565
ENSG00000111911,0,0.9344060251857091
ENSG00000111679,5,0.9581052493763687
ENSG00000083223,0,0.9999177532300167
ENSG00000104320,5,0.9985668475864474
ENSG00000059769,4,0.9999845117929985
ENSG00000263069,0,0.9999367332088939
ENSG00000249437,5,0.9813279218280022
ENSG00000273133,0,0.9999999973796874
ENSG00000105220,1,0.9791746263582854
ENSG00000101220,1,0.993302289483462
ENSG00000104812,1,0.9999999981084609
ENSG00000012223,2,0.9999962970934769
ENSG00000106785,0,0.9999005934883454
ENSG00000129007,0,0.9999999997464395
ENSG00000225342,0,0.9999124596478175
ENSG00000279320,0,0.9999952262619141
ENSG00000116273,4,0.9999607585749889
ENSG00000243364,0,0.7251750684836491
ENSG00000198911,4,0.999999993708721
ENSG00000140830,5,0.9993719632137784
ENSG00000142405,0,0.9999998943684946
ENSG00000182923,5,0.9809768845555608
ENSG00000127951,0,0.9999380302132287
ENSG00000111261,0,0.99999083047671
ENSG00000105205,1,0.999999976271796
ENSG00000272666,0,0.9999969087809379
ENSG00000134882,5,0.9999999999917064
ENSG00000176542,3,0.9999098834180548
ENSG00000272189,0,0.9999999991240005
ENSG00000165071,0,0.9999963254660259
ENSG00000102738,5,0.9999997216599992
ENSG00000124226,0,0.9999030134966583
ENSG00000028839,0,0.9757052719084468
ENSG00000162889,2,0.6388646280353962
ENSG00000064225,0,0.9999993651373089
ENSG00000172059,4,0.999993895482108
ENSG00000147416,0,0.9996956904772436
ENSG00000122729,0,0.999705272571311
ENSG00000255221,0,0.9988720267160651
ENSG00000234515,5,0.9758049118937844
ENSG00000113532,0,0.9159675775070761
ENSG00000205423,5,0.9999999993324016
ENSG00000260378,0,0.9995705653365762
ENSG00000136161,0,0.8913175901585624
ENSG00000196235,3,0.9686924357153134
ENSG00000204209,5,0.999996826962128
ENSG00000129515,5,0.7687658234657744
ENSG00000257242,1,0.9999933828307881
ENSG00000174125,0,0.9999925804757517
ENSG00000151883,5,0.9999999219783978
ENSG00000137500,0,0.9999799811564682
ENSG00000168610,0,0.9999937871187324
ENSG00000099783,3,0.9999986147781575
ENSG00000114209,5,0.9999909557976816
ENSG00000138035,0,0.9990155506735858
ENSG00000162222,0,0.9999964322246603
ENSG00000155827,0,0.55440625077317
ENSG00000204569,5,0.9999999731137458
ENSG00000198763,4,0.9999999317797392
ENSG00000099194,1,0.9999677667736301
ENSG00000259529,5,0.9999954171827918
ENSG00000101544,3,0.9999966372081303
ENSG00000187109,4,0.9472189647180559
ENSG00000106009,3,0.9999974053713199
ENSG00000162869,5,0.9622835424485783
ENSG00000224940,2,0.9999998815204352
ENSG00000073331,5,0.9999405217292208
ENSG00000179869,2,0.999727230856731
ENSG00000270820,5,0.6901660824326288
ENSG00000134996,0,0.9865266765495219
ENSG00000196415,1,0.9996480136163812
ENSG00000167513,1,0.999959870751902
ENSG00000187554,0,0.9941280503752157
ENSG00000282988,5,0.9999999999722877
ENSG00000101916,0,0.9999999313421644
ENSG00000172775,0,0.9999999991621245
ENSG00000058799,0,0.9999999991162178
ENSG00000136541,3,0.9999999999999376
ENSG00000105472,1,0.9978496116451
ENSG00000125691,1,0.9999999999999996
ENSG00000250687,5,0.9999999999998479
ENSG00000144744,5,0.9999903491079356
ENSG00000214872,0,0.9999999999999838
ENSG00000160179,5,0.9999999872525255
ENSG00000179094,4,0.515018560526041
ENSG00000125735,0,0.9994276355934891
ENSG00000101193,1,0.9981141953093512
ENSG00000163666,0,0.9999999940058084
ENSG00000126247,1,0.9999999959043746
ENSG00000235863,0,0.9999999995126636
ENSG00000081087,5,0.9998800323203768
ENSG00000069943,5,0.7982079789021571
ENSG00000175806,2,0.9948088369229555
ENSG00000135519,2,0.7130261177782057
ENSG00000002549,5,0.9993811115849631
ENSG00000283633,2,0.9997045469993141
ENSG00000135315,5,0.9991822317433257
ENSG00000139289,4,0.999852033108857
ENSG00000152422,0,0.5428131893721282
ENSG00000270276,0,0.9999013217156894
ENSG00000141002,1,0.5671508180874499
ENSG00000145868,0,0.9896992909277055
ENSG00000169245,0,0.9979038746348564
ENSG00000136527,3,0.9953529734096828
ENSG00000272419,0,0.9160712146387541
ENSG00000172493,0,0.9968748404007642
ENSG00000133101,0,0.9999983726997146
ENSG00000125510,5,0.9999795213191849
ENSG00000239839,2,0.9999999382491074
ENSG00000164609,0,0.999999999999901
ENSG00000162704,0,0.9999724362724927
ENSG00000159479,5,0.8776135400205916
ENSG00000102225,4,0.9999999999994791
ENSG00000274677,1,0.9998285100296543
ENSG00000103671,5,0.9969172316500458
ENSG00000072274,3,0.9537241346991714
ENSG00000143753,0,0.9999999995424846
ENSG00000285639,4,0.9840966542827806
ENSG00000175130,1,0.9327992677292901
ENSG00000110048,3,0.9999999998039926
ENSG00000176014,4,0.9854705232662465
ENSG00000065978,1,0.695658791257918
ENSG00000127564,1,0.9999999993950277
ENSG00000052749,1,0.99896429614475
ENSG00000130766,4,1.0
ENSG00000185973,5,0.9874809072394582
ENSG00000162600,5,0.9992985306981544
ENSG00000136371,0,0.9999999993054467
ENSG00000138449,0,0.7569317940625138
ENSG00000115109,0,0.94256620233868
ENSG00000140525,3,0.9994088686317052
ENSG00000182022,5,0.780440636884316
ENSG00000076984,1,0.9999205719986012
ENSG00000146083,4,0.9999999257853014
ENSG00000184432,5,0.9999999635233241
ENSG00000079257,5,0.9999999411978967
ENSG00000258289,0,0.9999857707766072
ENSG00000130640,4,0.9999784149958748
ENSG00000101421,1,0.9874824859796206
ENSG00000153786,2,0.9995867334324746
ENSG00000214975,0,0.9999836144658771
ENSG00000150527,5,0.5546271487000786
ENSG00000115947,5,0.9999879719010609
